FONTE,    PRODUÇÃO  ,    IMPORTAÇÃO  ,ANO
 COQUE DE CARVÃO MINERAL ,0,1098,2012
 URÂNIO CONTIDO NO UO2,0,6522,2012
 ELETRICIDADE,0,3502,2012
 CARVÃO VEGETAL ,0,0,2012
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,291,2012
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2933,2012
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1027,2012
 ALCATRÃO ,0,0,2012
 ENERGIA SECUNDÁRIA TOTAL ,0,35410,2012
 TOTAL  ,257455,79876,2012
 PETRÓLEO ,108976,17140,2011
 GÁS NATURAL ,23888,9223,2011
 CARVÃO VAPOR ,2134,3547,2011
 CARVÃO METALÚRGICO ,0,8659,2011
 URÂNIO U3O8 ,4209,966,2011
 ENERGIA HIDRÁULICA ,36837,0,2011
 LENHA ,25997,0,2011
 PRODUTOS DA CANA ,43270,0,2011
 OUTRAS FONTES PRIMÁRIAS ,11497,0,2011
 ENERGIA PRIMÁRIA TOTAL ,256807,39535,2011
 BIODIESEL ,0,0,2011
 ÓLEO DIESEL ,0,7914,2011
 ÓLEO COMBUSTÍVEL ,0,679,2011
 GASOLINA ,0,1689,2011
 GLP ,0,2071,2011
 NAFTA ,0,5454,2011
 QUEROSENE ,0,1482,2011
 GÁS DE CIDADE E DE COQUERIA ,0,0,2011
 COQUE DE CARVÃO MINERAL ,0,1478,2011
 URÂNIO CONTIDO NO UO2,0,2321,2011
 ELETRICIDADE,0,3305,2011
 CARVÃO VEGETAL ,0,0,2011
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,601,2011
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,3469,2011
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1062,2011
 ALCATRÃO ,0,0,2011
 ENERGIA SECUNDÁRIA TOTAL ,0,31526,2011
 TOTAL  ,256807,71061,2011
 PETRÓLEO ,106559,17516,2010
 GÁS NATURAL ,22771,11130,2010
 CARVÃO VAPOR ,2104,2895,2010
 CARVÃO METALÚRGICO ,0,7972,2010
 URÂNIO U3O8 ,1767,1419,2010
 ENERGIA HIDRÁULICA ,34683,0,2010
 LENHA ,25997,0,2010
 PRODUTOS DA CANA ,48852,0,2010
 OUTRAS FONTES PRIMÁRIAS ,10707,0,2010
 ENERGIA PRIMÁRIA TOTAL ,253440,40931,2010
 BIODIESEL ,0,0,2010
 ÓLEO DIESEL ,0,7638,2010
 ÓLEO COMBUSTÍVEL ,0,154,2010
 GASOLINA ,0,394,2010
 GLP ,0,1908,2010
 NAFTA ,0,5136,2010
 QUEROSENE ,0,1581,2010
 GÁS DE CIDADE E DE COQUERIA ,0,0,2010
 COQUE DE CARVÃO MINERAL ,0,1243,2010
 URÂNIO CONTIDO NO UO2,0,3527,2010
 ELETRICIDADE,0,3088,2010
 CARVÃO VEGETAL ,0,1,2010
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,39,2010
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,3384,2010
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1723,2010
 ALCATRÃO ,0,0,2010
 ENERGIA SECUNDÁRIA TOTAL ,0,29814,2010
 TOTAL  ,253440,70746,2010
 PETRÓLEO ,100918,19346,2009
 GÁS NATURAL ,20983,7362,2009
 CARVÃO VAPOR ,1913,1999,2009
 CARVÃO METALÚRGICO ,167,6627,2009
 URÂNIO U3O8 ,4117,30,2009
 ENERGIA HIDRÁULICA ,33625,0,2009
 LENHA ,24609,0,2009
 PRODUTOS DA CANA ,44775,0,2009
 OUTRAS FONTES PRIMÁRIAS ,9605,0,2009
 ENERGIA PRIMÁRIA TOTAL ,240713,35364,2009
 BIODIESEL ,0,0,2009
 ÓLEO DIESEL ,0,2981,2009
 ÓLEO COMBUSTÍVEL ,0,10,2009
 GASOLINA ,0,10,2009
 GLP ,0,1562,2009
 NAFTA ,0,3958,2009
 QUEROSENE ,0,1044,2009
 GÁS DE CIDADE E DE COQUERIA ,0,0,2009
 COQUE DE CARVÃO MINERAL ,0,300,2009
 URÂNIO CONTIDO NO UO2,0,3707,2009
 ELETRICIDADE,0,3504,2009
 CARVÃO VEGETAL ,0,1,2009
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,2,2009
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2869,2009
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,968,2009
 ALCATRÃO ,0,0,2009
 ENERGIA SECUNDÁRIA TOTAL ,0,20916,2009
 TOTAL  ,240713,56280,2009
 PETRÓLEO ,94000,19689,2008
 GÁS NATURAL ,21398,9986,2008
 CARVÃO VAPOR ,2552,2635,2008
 CARVÃO METALÚRGICO ,101,7909,2008
 URÂNIO U3O8 ,3950,371,2008
 ENERGIA HIDRÁULICA ,31782,0,2008
 LENHA ,29227,0,2008
 PRODUTOS DA CANA ,45019,0,2008
 OUTRAS FONTES PRIMÁRIAS ,8686,0,2008
 ENERGIA PRIMÁRIA TOTAL ,236715,40590,2008
 BIODIESEL ,0,0,2008
 ÓLEO DIESEL ,0,4943,2008
 ÓLEO COMBUSTÍVEL ,0,190,2008
 GASOLINA ,0,0,2008
 GLP ,0,1337,2008
 NAFTA ,0,3591,2008
 QUEROSENE ,0,1230,2008
 GÁS DE CIDADE E DE COQUERIA ,0,0,2008
 COQUE DE CARVÃO MINERAL ,0,1311,2008
 URÂNIO CONTIDO NO UO2,0,3548,2008
 ELETRICIDADE,0,3689,2008
 CARVÃO VEGETAL ,0,0,2008
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,2008
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,3087,2008
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1295,2008
 ALCATRÃO ,0,8,2008
 ENERGIA SECUNDÁRIA TOTAL ,0,24232,2008
 TOTAL  ,236715,64822,2008
 PETRÓLEO ,90765,21515,2007
 GÁS NATURAL ,18025,9094,2007
 CARVÃO VAPOR ,2257,2620,2007
 CARVÃO METALÚRGICO ,92,7598,2007
 URÂNIO U3O8 ,3622,2505,2007
 ENERGIA HIDRÁULICA ,32165,0,2007
 LENHA ,28618,0,2007
 PRODUTOS DA CANA ,40458,0,2007
 OUTRAS FONTES PRIMÁRIAS ,7879,0,2007
 ENERGIA PRIMÁRIA TOTAL ,223883,43332,2007
 BIODIESEL ,0,0,2007
 ÓLEO DIESEL ,0,4324,2007
 ÓLEO COMBUSTÍVEL ,0,112,2007
 GASOLINA ,0,8,2007
 GLP ,0,1096,2007
 NAFTA ,0,3693,2007
 QUEROSENE ,0,733,2007
 GÁS DE CIDADE E DE COQUERIA ,0,0,2007
 COQUE DE CARVÃO MINERAL ,0,1088,2007
 URÂNIO CONTIDO NO UO2,0,992,2007
 ELETRICIDADE,0,3514,2007
 CARVÃO VEGETAL ,0,9,2007
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,2,2007
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2734,2007
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1108,2007
 ALCATRÃO ,0,0,2007
 ENERGIA SECUNDÁRIA TOTAL ,0,19413,2007
 TOTAL  ,223883,62745,2007
 PETRÓLEO ,89214,17285,2006
 GÁS NATURAL ,17582,8614,2006
 CARVÃO VAPOR ,2200,2438,2006
 CARVÃO METALÚRGICO ,87,6749,2006
 URÂNIO U3O8 ,2338,1985,2006
 ENERGIA HIDRÁULICA ,29997,0,2006
 LENHA ,28482,0,2006
 PRODUTOS DA CANA ,35133,0,2006
 OUTRAS FONTES PRIMÁRIAS ,6951,0,2006
 ENERGIA PRIMÁRIA TOTAL ,211985,37071,2006
 BIODIESEL ,0,0,2006
 ÓLEO DIESEL ,0,3006,2006
 ÓLEO COMBUSTÍVEL ,0,241,2006
 GASOLINA ,0,22,2006
 GLP ,0,969,2006
 NAFTA ,0,3495,2006
 QUEROSENE ,0,576,2006
 GÁS DE CIDADE E DE COQUERIA ,0,0,2006
 COQUE DE CARVÃO MINERAL ,0,1036,2006
 URÂNIO CONTIDO NO UO2,0,3958,2006
 ELETRICIDADE,0,3564,2006
 CARVÃO VEGETAL ,0,102,2006
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,2006
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2250,2006
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1379,2006
 ALCATRÃO ,0,0,2006
 ENERGIA SECUNDÁRIA TOTAL ,0,20599,2006
 TOTAL  ,211985,57670,2006
 PETRÓLEO ,84300,17674,2005
 GÁS NATURAL ,17575,7918,2005
 CARVÃO VAPOR ,2348,2448,2005
 CARVÃO METALÚRGICO ,135,6959,2005
 URÂNIO U3O8 ,1309,5156,2005
 ENERGIA HIDRÁULICA ,29021,0,2005
 LENHA ,28420,0,2005
 PRODUTOS DA CANA ,31094,0,2005
