FONTE,PRODUÇÃO,IMPORTAÇÃO,ANO
 ENERGIA SECUNDÁRIA TOTAL ,0,28968.743826941914,2015
 TOTAL  ,287125.5607093121,75965.696546503,2015
CONTA,PRODUÇÃO,IMPORTAÇÃO,2014
 PETRÓLEO ,116704.74948,18082.33114,2014
 GÁS NATURAL ,31660.875989999997,17001.116,2014
 CARVÃO VAPOR ,3059.1144095527184,5305.835799999999,2014
 CARVÃO METALÚRGICO ,0,8110.444399999999,2014
 URÂNIO U3O8 ,681.3441599999999,2883.4477753864994,2014
 ENERGIA HIDRÁULICA ,32115.759200787103,0,2014
 LENHA ,25222.87520217373,0,2014
 PRODUTOS DA CANA ,49273.25345621285,0,2014
 OUTRAS FONTES PRIMÁRIAS ,14814.456559423656,0,2014
 ENERGIA PRIMÁRIA TOTAL ,273532.42845815007,51383.175115386504,2014
 BIODIESEL ,0,0,2014
 ÓLEO DIESEL ,0,9561.292432,2014
 ÓLEO COMBUSTÍVEL ,0,381.683181,2014
 GASOLINA ,0,1625.50542,2014
 GLP ,0,2276.545063,2014
 NAFTA ,0,5237.82801,2014
 QUEROSENE ,0,1235.9501579999999,2014
 GÁS DE CIDADE E DE COQUERIA ,0,0,2014
 COQUE DE CARVÃO MINERAL ,0,1254.4199999999998,2014
 URÂNIO CONTIDO NO UO2,0,1022.2210380086,2014
 ELETRICIDADE,0,2904.8803069645596,2014
 CARVÃO VEGETAL ,0,0,2014
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,511.27794599999993,2014
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2997.4113,2014
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1132.955426,2014
 ALCATRÃO ,0,0,2014
 ENERGIA SECUNDÁRIA TOTAL ,0,30141.970280973153,2014
 TOTAL  ,273532.42845815007,81525.14539635966,2014
CONTA,PRODUÇÃO,IMPORTAÇÃO,2013
 PETRÓLEO ,104762.4696,20372.60285,2013
 GÁS NATURAL ,27968.677245,14926.163999999999,2013
 CARVÃO VAPOR ,3298.4431287463403,4205.533499999999,2013
 CARVÃO METALÚRGICO ,0,7837.9098,2013
 URÂNIO U3O8 ,2374.6770395499993,601.3243440279998,2013
 ENERGIA HIDRÁULICA ,33625.31320176209,0,2013
 LENHA ,24787.558900888846,0,2013
 PRODUTOS DA CANA ,49305.93602092935,0,2013
 OUTRAS FONTES PRIMÁRIAS ,12773.340175762127,0,2013
 ENERGIA PRIMÁRIA TOTAL ,258896.4153126387,47943.534494028,2013
 BIODIESEL ,0,0,2013
 ÓLEO DIESEL ,0,8500.698832,2013
 ÓLEO COMBUSTÍVEL ,0,92.11125,2013
 GASOLINA ,0,1743.82824,2013
 GLP ,0,2060.229678,2013
 NAFTA ,0,5261.327057528843,2013
 QUEROSENE ,0,1466.568012,2013
 GÁS DE CIDADE E DE COQUERIA ,0,0,2013
 COQUE DE CARVÃO MINERAL ,0,1308.24,2013
 URÂNIO CONTIDO NO UO2,0,3333.6020640096995,2013
 ELETRICIDADE,0,3468.723206148362,2013
 CARVÃO VEGETAL ,0,0,2013
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,68.16852169333518,2013
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2983.61038,2013
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1063.1509460000002,2013
 ALCATRÃO ,0,0,2013
 ENERGIA SECUNDÁRIA TOTAL ,0,31350.25818738024,2013
 TOTAL  ,258896.4153126387,79293.79268140823,2013
CONTA,PRODUÇÃO,IMPORTAÇÃO,2012
 PETRÓLEO ,107257.93344000001,17855.252308,2012
 GÁS NATURAL ,25573.639590000002,11601.984840160001,2012
 CARVÃO VAPOR ,2517.3385626843296,3313.3432082250006,2012
 CARVÃO METALÚRGICO ,0,7840.746040549999,2012
 URÂNIO U3O8 ,3880.893751349999,3853.997994805499,2012
 ENERGIA HIDRÁULICA ,35719.42708926546,0,2012
 LENHA ,25682.61512014749,0,2012
 PRODUTOS DA CANA ,45116.93094209361,0,2012
 OUTRAS FONTES PRIMÁRIAS ,11706.012717644286,0,2012
 ENERGIA PRIMÁRIA TOTAL ,257454.79121318515,44465.32439174049,2012
 BIODIESEL ,0,0,2012
 ÓLEO DIESEL ,0,8241.4576,2012
 ÓLEO COMBUSTÍVEL ,0,217.361496,2012
 GASOLINA ,0,2915.3312300000002,2012
 GLP ,0,1743.7939999999999,2012
 NAFTA ,0,5380.09350093,2012
 QUEROSENE ,0,1537.962,2012
 GÁS DE CIDADE E DE COQUERIA ,0,0,2012
 COQUE DE CARVÃO MINERAL ,0,1097.79,2012
 URÂNIO CONTIDO NO UO2,0,6522.3457889808,2012
 ELETRICIDADE,0,3502.05803,2012
 CARVÃO VEGETAL ,0,0,2012
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,291.1765492295367,2012
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2933.41559147,2012
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1027.4142267900002,2012
 ALCATRÃO ,0,0,2012
 ENERGIA SECUNDÁRIA TOTAL ,0,35410.20001340034,2012
 TOTAL  ,257454.79121318515,79875.52440514084,2012
CONTA,PRODUÇÃO,IMPORTAÇÃO,2011
 PETRÓLEO ,108976.05,17139.62,2011
 GÁS NATURAL ,23888.3328,9223.482642337807,2011
 CARVÃO VAPOR ,2133.8354532908065,3546.771631616999,2011
 CARVÃO METALÚRGICO ,0,8659.04821,2011
 URÂNIO U3O8 ,4208.673015369999,965.7990605889997,2011
 ENERGIA HIDRÁULICA ,36836.63110892814,0,2011
 LENHA ,25996.62894961855,0,2011
 PRODUTOS DA CANA ,43269.972139197474,0,2011
 OUTRAS FONTES PRIMÁRIAS ,11496.976612370489,0,2011
 ENERGIA PRIMÁRIA TOTAL ,256807.10007877546,39534.721544543805,2011
 BIODIESEL ,0,0,2011
 ÓLEO DIESEL ,0,7914.384,2011
 ÓLEO COMBUSTÍVEL ,0,678.5129999999999,2011
 GASOLINA ,0,1688.568,2011
 GLP ,0,2071.29,2011
 NAFTA ,0,5454.45,2011
